26016425;41.16468;-8.647214;-0.1509224;0.7184591
26016427;41.1642;-8.648056;-0.1509371;0.7184507
26016429;41.16359;-8.648691;-0.1509481;0.7184401
26016432;41.1629;-8.648995;-0.1509534;0.7184281
26016442;41.15879;-8.647492;-0.1509272;0.7183564
26016443;41.1571;-8.646398;-0.1509081;0.7183269
26016444;41.15718;-8.646188;-0.1509044;0.7183284
26016445;41.15662;-8.646092;-0.1509028;0.7183185
26016446;41.15672;-8.645885;-0.1508992;0.7183203
26016448;41.15609;-8.645601;-0.1508942;0.7183093
26016460;41.15124;-8.641754;-0.1508271;0.7182246
26016455;41.15222;-8.643554;-0.1508585;0.7182418
26016456;41.15234;-8.643374;-0.1508553;0.7182438
26016431;41.16296;-8.649179;-0.1509567;0.7184293
26016437;41.16112;-8.649332;-0.1509593;0.718397
26016423;41.16586;-8.64447;-0.1508745;0.7184797
26016450;41.15383;-8.644693;-0.1508784;0.7182699
26016451;41.15322;-8.644477;-0.1508746;0.7182593
26016452;41.15326;-8.644324;-0.1508719;0.7182599
26016440;41.16;-8.648518;-0.1509451;0.7183776
26016441;41.15867;-8.647618;-0.1509294;0.7183543
111452220;41.14884;-8.654018;-0.1510411;0.7181828
111460002;41.15064;-8.640581;-0.1508066;0.7182142
111461652;41.15078;-8.640421;-0.1508038;0.7182165
111461655;41.15094;-8.640169;-0.1507994;0.7182193
111461663;41.15098;-8.636499;-0.1507353;0.7182201
111462213;41.14993;-8.638646;-0.1507728;0.7182018
111462217;41.14967;-8.639376;-0.1507856;0.7181972
111462218;41.14949;-8.639994;-0.1507963;0.7181942
111463991;41.1494;-8.640449;-0.1508043;0.7181925
111464001;41.15005;-8.643959;-0.1508655;0.7182039
111463993;41.14929;-8.641654;-0.1508253;0.7181906
111463996;41.14942;-8.642641;-0.1508425;0.7181928
111464003;41.15031;-8.644239;-0.1508704;0.7182085
111465590;41.15063;-8.6446;-0.1508767;0.7182139
126397456;41.1564;-8.645558;-0.1508935;0.7183146
126397457;41.15573;-8.645361;-0.15089;0.718303
126397454;41.1567;-8.645684;-0.1508957;0.71832
126398059;41.15636;-8.645721;-0.1508963;0.718314
126401364;41.15725;-8.64543;-0.1508912;0.7183296
126401368;41.15738;-8.64547;-0.1508919;0.7183317
126401818;41.15744;-8.645296;-0.1508889;0.7183328
126402750;41.15728;-8.64551;-0.1508926;0.7183301
126402745;41.15718;-8.645953;-0.1509003;0.7183283
126402746;41.15715;-8.645876;-0.150899;0.7183278
126402747;41.15714;-8.645756;-0.1508969;0.7183275
126402748;41.15718;-8.645627;-0.1508947;0.7183282
126402749;41.15723;-8.64555;-0.1508933;0.7183291
126402849;41.15805;-8.646906;-0.150917;0.7183434
126580884;41.16442;-8.647696;-0.1509308;0.7184548
126581914;41.16391;-8.648382;-0.1509427;0.7184458
126581915;41.16332;-8.648923;-0.1509522;0.7184355
126582084;41.16319;-8.648786;-0.1509498;0.7184331
129665115;41.15023;-8.656201;-0.1510792;0.718207
129665117;41.14997;-8.655927;-0.1510744;0.7182025
129665118;41.14983;-8.655583;-0.1510684;0.7182
129665120;41.14966;-8.655137;-0.1510606;0.7181971
129665121;41.14951;-8.654768;-0.1510542;0.7181944
129665123;41.14928;-8.654382;-0.1510475;0.7181904
129665124;41.14912;-8.65421;-0.1510445;0.7181876
129667169;41.14931;-8.65397;-0.1510403;0.718191
129667170;41.14968;-8.654365;-0.1510472;0.7181974
129667171;41.14994;-8.654708;-0.1510531;0.7182019
129667173;41.15002;-8.655025;-0.1510587;0.7182034
129667174;41.1501;-8.655498;-0.1510669;0.7182047
129667178;41.15076;-8.656227;-0.1510797;0.7182162
129676697;41.15121;-8.656519;-0.1510848;0.7182242
129679647;41.15097;-8.656253;-0.1510801;0.7182199
129692087;41.15599;-8.648502;-0.1509448;0.7183076
129692090;41.15581;-8.648459;-0.1509441;0.7183043
479183169;41.15185;-8.64174;-0.1508268;0.7182353
479183080;41.15128;-8.639481;-0.1507874;0.7182254
1236473138;41.14982;-8.642932;-0.1508476;0.7181998
1236473140;41.14955;-8.642186;-0.1508346;0.7181951
1236473142;41.14978;-8.642901;-0.1508471;0.7181991
1236473146;41.14948;-8.641056;-0.1508149;0.7181939
1236473147;41.14946;-8.641431;-0.1508214;0.7181937
1236473144;41.14948;-8.641657;-0.1508254;0.7181938
1236473149;41.14959;-8.642458;-0.1508393;0.7181957
1236473152;41.14955;-8.640627;-0.1508074;0.7181951
126398316;41.15624;-8.645886;-0.1508992;0.7183118
26016447;41.15611;-8.645827;-0.1508982;0.7183096
479185312;41.1496;-8.640527;-0.1508056;0.718196
479185140;41.15039;-8.63808;-0.1507629;0.7182098
479185282;41.14976;-8.64045;-0.1508043;0.7181988
297880374;41.14901;-8.649076;-0.1509549;0.7181858
297880376;41.14965;-8.649138;-0.1509559;0.7181968
297880380;41.15065;-8.649027;-0.150954;0.7182143
297880381;41.15077;-8.649027;-0.150954;0.7182165
297880382;41.15097;-8.649422;-0.1509609;0.71822
297880386;41.15166;-8.649484;-0.150962;0.718232
297880388;41.15239;-8.649208;-0.1509572;0.7182447
297880378;41.15011;-8.649054;-0.1509545;0.7182049
297880379;41.1504;-8.649059;-0.1509546;0.71821
297880383;41.15117;-8.649824;-0.1509679;0.7182234
297880385;41.15128;-8.64971;-0.1509659;0.7182254
297880392;41.15286;-8.648581;-0.1509462;0.718253
311889364;41.15707;-8.637802;-0.1507581;0.7183264
311889581;41.15776;-8.644985;-0.1508835;0.7183384
314028302;41.15561;-8.66002;-0.1511459;0.7183008
